seq_id,site_id,geo_tract,add_num,add_str,zipcode,muni,nhood,prop_name,year_blt,company,park_incl,cost_space,park_add,nrs_tserv,hou_type,rnt_studio,rnt_unit1,rnt_unit2,rnt_unit3,rnt_unit_t,cnd_studio,cnd_unit1,cnd_unit2,cnd_unit3,cnd_unit_t,vac_studio,vac_unit1,vac_unit2,vac_unit3,vac_unit_t,sub_studio,sub_unit1,sub_unit2,sub_unit3,sub_unit_t,cost_apt_s,cost_apt_1,cost_apt_2,cost_apt_3,cost_cnd_s,cost_cnd_1,cost_cnd_2,cost_cnd_3,ov_lot_spc,ov_gar_spc,ov_lot_veh,ov_gar_veh,ov_spc,ov_veh,ov_empt,apt_unit_t,apt_occu_t,util_rate,park_dem,park_sup,supply_tot,x_coord,y_coord,ct_pop_tot,bg_pop_den,bg_emp_den,bg_act_den,walk_score,jobs_30min,mbta_rapid,mbta_crail,bldg_agec,bldg_szec,rental,bldg_affp,bldg_bed1,bldg_bed2,bldg_bed3,avg_bedrms,bldg_bed1p,bldg_bed2p,bldg_bed3p,rent_punit,rent_proom,sfc_vs_gar,park_bike,park_bund,park_cost,cost_v_unt,cost_v_brm,phase
1339,140,25017353000,144,Prospect Street,2139,Cambridge,Central,Scouting Way,2005,Just-A-Start Corp,Yes,0,There is no option for additional parking,f,Apartments,0,0,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,1250,1750,0,0,0,0,7,0,5,0,7,5,2,13,13,0.71,0.38,0.54,0.54,42.3687,-71.1013,3609,17.18,43.7,60.88,95,507126,t,f,3,1,1,0.62,0,5,8,2.62,0,0.38,0.62,1557.69,595.59,0,t,1,0,0,0,phase 1 & 2
1340,141,25017341101,145,Glenwood Street,2148,Malden,0,145 Glenwood Street,1900,0,0,0,Residents may rent spaces from one another,f,Condominiums,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,35,0,48,35,13,24,24,0.73,1.46,2,2,42.4344,-71.0784,4031,9.14,0.63,9.77,37,17904,t,f,1,1,0,0,11,11,2,1.63,0.46,0.46,0.08,0,0,0,f,0,0,0,0,phase 1 & 2
1341,142,25025160101,146,Library Street,2150,Chelsea,0,146 Library Street,2007,0,Yes,0,0,f,Condominiums,0,0,0,0,0,0,0,12,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,17,0,20,17,3,26,26,0.85,0.65,0.77,0.77,42.3927,-71.0268,9286,68.29,2.79,71.08,79,84836,f,t,3,2,0,0,0,12,14,2.54,0,0.46,0.54,0,0,0,f,1,0,0,0,phase 1 & 2
1342,143,25017342500,148,Chelsea Street,2149,Everett,0,148 Chelsea Street,1921,0,Yes,0,Residents may park on-street,f,Apartments,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1100,0,0,0,0,0,0,17,0,16,0,17,16,1,12,12,0.94,1.33,1.42,1.42,42.4047,-71.0495,8050,32.39,12.46,44.85,87,36376,f,f,1,1,1,0.08,12,0,0,1,1,0,0,1100,1100,0,f,1,0,0,0,phase 1 & 2
1343,144,25025130406,15,Mann Street,2132,Boston,West Roxbury,15 Mann Street,0,Chestnut Hill Realty,No,$30,Parking is not included with rent/purchase price-- residents pay for each space requested,f,Apartments,0,6,6,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1750,2250,0,0,0,0,0,0,10,0,9,0,10,9,1,12,11,0.9,0.82,0.91,0.83,42.2637,-71.1528,6011,16.88,0.91,17.79,55,13824,f,f,0,1,1,0,5,6,0,1.55,0.45,0.55,0,2250,2250,0,f,0,30,0.01,0.01,phase 1 & 2
1344,145,25025091400,150,Magnolia Street,2125,Boston,Dorchester,Sister Clara Muhammed Housing Coop.,2002,Winn Residential,Yes,0,There is no option for additional parking,f,Apartments,0,0,8,17,25,0,0,0,0,0,0,0,0,0,0,0,0,6,14,20,0,0,1250,1750,0,0,0,0,22,0,11,0,22,11,11,25,25,0.5,0.44,0.88,0.88,42.3139,-71.0718,3089,31.56,37.19,68.76,84,64130,f,t,3,2,1,0.8,0,8,17,2.68,0,0.32,0.68,1590,593.28,0,f,1,0,0,0,phase 1 & 2
1345,146,25017339801,150,Rivers Edge Drive,2155,Medford,0,RE150,2017,Gables Residential,Yes,$0,If a unit request an additional parking space; they must pay for the space separate from the rental price,t,Apartments,0,0,0,0,282,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,299,482,299,183,282,271,0.62,1.1,1.78,1.71,42.4107,-71.076,4938,16.23,10.29,26.51,41,23200,f,f,3,3,1,0,145,110,16,1.52,0.54,0.41,0.06,0,0,482,f,1,0,0,0,phase 1 & 2
1346,147,25025130402,1522,VFW Parkway,2132,Boston,West Roxbury,Marshview Place,2015,0,Yes,0,There is no option for additional parking,f,Apartments,0,13,15,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2500,0,0,0,0,0,0,31,21,0,31,21,10,28,28,0.68,0.75,1.11,1.11,42.2685,-71.1708,5078,8.25,4.08,12.33,52,6683,f,f,3,2,1,0,13,15,0,1.54,0.46,0.54,0,2360.71,1537.21,31,f,1,0,0,0,phase 1 & 2
1347,148,25017341901,1538,Eastern Avenue,2148,Malden,0,1538 Eastern Avenue,1970,0,Yes,0,There is no option for additional parking,f,Apartments,1,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,9,0,17,9,8,12,12,0.53,0.75,1.42,1.42,42.4318,-71.0269,1426,4.65,1.74,6.39,67,22776,f,f,2,1,1,0,12,0,0,1,1,0,0,0,0,0,f,1,0,0,0,phase 1 & 2
1348,149,25025081300,1542,Columbus Avenue,2119,Boston,Roxbury,Jackson Commons,2016,Winn Residential,Yes,0,There is no option for additional parking,f,Apartments,0,5,19,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,1750,2250,0,0,0,0,30,0,24,0,30,24,6,29,29,0.8,0.83,1.03,1.03,42.3231,-71.0982,5573,33.89,12.1,45.99,88,285647,t,f,3,2,1,0,5,19,5,2,0.17,0.66,0.17,1750,875,0,f,1,0,0,0,phase 1 & 2
